dataset,variant,exclusion_level,filter_name,total_count,accept_count,defer_count,reject_count,accept_percentage,defer_percentage,reject_percentage
extended,\VariantShared{},Test,NoAssertions,56844,33385,0,23459,58.7,0.0,41.3
extended,\VariantShared{},Test,NonPassingTest,74308,65567,0,8741,88.2,0.0,11.8
extended,\VariantShared{},Test,TestType,74308,65031,0,9277,87.5,0.0,12.5
extended,\VariantShared{},Assertion,AssertionType,122153,92986,0,29167,76.1,0.0,23.9
extended,\VariantShared{},Assertion,ExcludedTest,122153,101513,0,20640,83.1,0.0,16.9
extended,\VariantShared{},Assertion,MissingValue,122153,51425,0,70728,42.1,0.0,57.9
extended,\VariantShared{},Assertion,ParameterType,122153,5393,56477,60283,4.4,46.2,49.4
extended,\VariantShared{},Assertion,ReturnType,122153,11645,70728,39780,9.5,57.9,32.6
extended,\VariantImprovedC{},Generalization,NonPassingTest,229,206,0,23,90.0,0.0,10.0
