statistic_type,search_budget_seconds,total_runtime_seconds,search_runtime_seconds,inlining_runtime_seconds,minimization_runtime_seconds,coverage_analysis_runtime_seconds,assertion_generation_runtime_seconds,junit_check_runtime_seconds,writing_tests_runtime_seconds,writing_statistics_runtime_seconds,done_runtime_seconds,finished_runtime_seconds
mean,1,47.96,4.86,0.29,2.6,0.57,4.58,34.85,0.2,0.01,0.0,0.0
mean,10,54.64,12.33,0.36,2.4,0.62,4.91,33.73,0.27,0.01,0.0,0.0
mean,60,100.64,56.01,0.4,2.7,0.61,4.96,35.62,0.33,0.01,0.0,0.0
median,1,34.64,2.09,0.03,0.36,0.02,0.94,29.61,0.02,0.01,0.0,0.0
median,10,43.95,11.06,0.02,0.22,0.02,0.96,31.73,0.02,0.01,0.0,0.0
median,60,93.57,61.04,0.02,0.2,0.02,0.67,31.66,0.02,0.01,0.0,0.0
