variant,exclusion_level,total_count,included_count,filtering_count,failures_count,included_percentage,filtering_percentage,failures_percentage
\VariantShared{},Test,23246,19306,3933,7,83.1,16.9,0.0
\VariantShared{},Assertion,28923,13836,12092,2995,47.8,41.8,10.4
\VariantBaseline{},Generalization,13836,13814,22,0,99.8,0.2,0.0
\VariantImprovedA{},Generalization,13836,11788,2016,32,85.2,14.6,0.2
\VariantImprovedC{},Generalization,13836,11597,2207,32,83.8,16.0,0.2
\VariantImprovedB{},Generalization,13836,11660,2144,32,84.3,15.5,0.2
\VariantNaiveA{},Generalization,13836,10743,3061,32,77.6,22.1,0.2
\VariantNaiveC{},Generalization,13836,9881,3923,32,71.4,28.4,0.2
\VariantNaiveB{},Generalization,13836,9964,3840,32,72.0,27.8,0.2
