project_name,base_project_name,stage_group,variant,total_runtime_seconds,is_shared_stage,step_order
eqbench-es-60s,eqbench,Stage 5,\VariantImprovedA{},7711.78,False,4
eqbench-es-60s,eqbench,Stage 4,\VariantImprovedB{},170.92,False,3
eqbench-es-60s,eqbench,Stage 5,\VariantImprovedB{},10615.92,False,4
eqbench-es-60s,eqbench,Stage 4,\VariantImprovedC{},153.89,False,3
eqbench-es-60s,eqbench,Stage 5,\VariantImprovedC{},17621.01,False,4
eqbench-es-1s,eqbench,Stage 1 + 2,\VariantShared{},430.81,True,1
eqbench-es-1s,eqbench,Stage 3,\VariantShared{},307.75,True,2
eqbench-es-1s,eqbench,Stage 5,\VariantShared{},6745.41,False,4
eqbench-es-1s,eqbench,Stage 4,\VariantBaseline{},9.81,False,3
eqbench-es-1s,eqbench,Stage 5,\VariantBaseline{},6422.24,False,4
eqbench-es-1s,eqbench,Stage 4,\VariantNaiveA{},146.68,False,3
eqbench-es-1s,eqbench,Stage 5,\VariantNaiveA{},9398.64,False,4
eqbench-es-1s,eqbench,Stage 4,\VariantNaiveB{},146.82,False,3
eqbench-es-1s,eqbench,Stage 5,\VariantNaiveB{},10202.3,False,4
eqbench-es-1s,eqbench,Stage 4,\VariantNaiveC{},142.46,False,3
eqbench-es-1s,eqbench,Stage 5,\VariantNaiveC{},19577.82,False,4
eqbench-es-1s,eqbench,Stage 4,\VariantImprovedA{},134.89,False,3
eqbench-es-1s,eqbench,Stage 5,\VariantImprovedA{},9234.72,False,4
eqbench-es-1s,eqbench,Stage 4,\VariantImprovedB{},142.99,False,3
eqbench-es-1s,eqbench,Stage 5,\VariantImprovedB{},10131.54,False,4
eqbench-es-1s,eqbench,Stage 4,\VariantImprovedC{},140.57,False,3
eqbench-es-1s,eqbench,Stage 5,\VariantImprovedC{},15696.33,False,4
eqbench-es-10s,eqbench,Stage 1 + 2,\VariantShared{},414.77,True,1
eqbench-es-10s,eqbench,Stage 3,\VariantShared{},2776.1,True,2
eqbench-es-10s,eqbench,Stage 5,\VariantShared{},7533.79,False,4
eqbench-es-10s,eqbench,Stage 4,\VariantBaseline{},12.26,False,3
eqbench-es-10s,eqbench,Stage 5,\VariantBaseline{},7292.87,False,4
eqbench-es-10s,eqbench,Stage 4,\VariantNaiveA{},145.6,False,3
eqbench-es-10s,eqbench,Stage 5,\VariantNaiveA{},9676.31,False,4
eqbench-es-10s,eqbench,Stage 4,\VariantNaiveB{},177.88,False,3
eqbench-es-10s,eqbench,Stage 5,\VariantNaiveB{},11896.37,False,4
eqbench-es-10s,eqbench,Stage 4,\VariantNaiveC{},147.2,False,3
eqbench-es-10s,eqbench,Stage 5,\VariantNaiveC{},29467.12,False,4
eqbench-es-10s,eqbench,Stage 4,\VariantImprovedA{},156.54,False,3
eqbench-es-10s,eqbench,Stage 5,\VariantImprovedA{},8045.14,False,4
eqbench-es-10s,eqbench,Stage 4,\VariantImprovedB{},151.08,False,3
eqbench-es-10s,eqbench,Stage 5,\VariantImprovedB{},8782.17,False,4
eqbench-es-10s,eqbench,Stage 4,\VariantImprovedC{},154.62,False,3
eqbench-es-10s,eqbench,Stage 5,\VariantImprovedC{},14790.54,False,4
commons-utils-es-10s,commons-utils-dev,Stage 1 + 2,\VariantShared{},169.95,True,1
commons-utils-es-10s,commons-utils-dev,Stage 3,\VariantShared{},1757.16,True,2
commons-utils-es-10s,commons-utils-dev,Stage 5,\VariantShared{},1748.84,False,4
commons-utils-es-10s,commons-utils-dev,Stage 4,\VariantBaseline{},14.04,False,3
commons-utils-es-10s,commons-utils-dev,Stage 5,\VariantBaseline{},2885.91,False,4
commons-utils-es-10s,commons-utils-dev,Stage 4,\VariantNaiveA{},68.74,False,3
commons-utils-es-10s,commons-utils-dev,Stage 5,\VariantNaiveA{},2886.9,False,4
commons-utils-es-10s,commons-utils-dev,Stage 4,\VariantNaiveB{},72.13,False,3
commons-utils-es-10s,commons-utils-dev,Stage 5,\VariantNaiveB{},4011.88,False,4
commons-utils-es-10s,commons-utils-dev,Stage 4,\VariantNaiveC{},69.78,False,3
commons-utils-es-10s,commons-utils-dev,Stage 5,\VariantNaiveC{},8940.13,False,4
commons-utils-es-10s,commons-utils-dev,Stage 4,\VariantImprovedA{},84.4,False,3
commons-utils-es-10s,commons-utils-dev,Stage 5,\VariantImprovedA{},3508.18,False,4
commons-utils-es-10s,commons-utils-dev,Stage 4,\VariantImprovedB{},69.78,False,3
commons-utils-es-10s,commons-utils-dev,Stage 5,\VariantImprovedB{},3044.23,False,4
commons-utils-es-10s,commons-utils-dev,Stage 4,\VariantImprovedC{},80.01,False,3
commons-utils-es-10s,commons-utils-dev,Stage 5,\VariantImprovedC{},5701.78,False,4
