project_name,stage_group,processing_step,step_runtime_seconds,stage_total_runtime_seconds,project_total_runtime_seconds,percentage_of_stage,percentage_of_project
eqbench-es-10s,Stage 1 + 2,BUILD_PROJECT_ORIGINAL,6.88,414.62,101623.88,1.66,0.01
eqbench-es-10s,Stage 1 + 2,BUILD_SPOON_MODEL,3.96,414.62,101623.88,0.96,0.0
eqbench-es-10s,Stage 1 + 2,COLLECT_JACOCO_DATA_ORIGINAL,2.25,414.62,101623.88,0.54,0.0
eqbench-es-10s,Stage 1 + 2,COLLECT_JUNIT_REPORTS_ORIGINAL,7.23,414.62,101623.88,1.74,0.01
eqbench-es-10s,Stage 1 + 2,EXECUTE_TESTS_ORIGINAL,372.41,414.62,101623.88,89.82,0.37
eqbench-es-10s,Stage 1 + 2,FILTER_ASSERTIONS,6.4,414.62,101623.88,1.54,0.01
eqbench-es-10s,Stage 1 + 2,FILTER_TESTS,4.97,414.62,101623.88,1.2,0.0
eqbench-es-10s,Stage 1 + 2,FILTER_TESTS_ORIGINAL,5.44,414.62,101623.88,1.31,0.01
eqbench-es-10s,Stage 1 + 2,SETUP_PROJECT,2.68,414.62,101623.88,0.65,0.0
eqbench-es-10s,Stage 3,ADD_JPF_INSTRUMENTATION,8.15,3449.46,101623.88,0.24,0.01
eqbench-es-10s,Stage 3,ANALYZE_JPF,62.01,3449.46,101623.88,1.8,0.06
eqbench-es-10s,Stage 3,BUILD_PROJECT_INITIAL,7.05,3449.46,101623.88,0.2,0.01
eqbench-es-10s,Stage 3,BUILD_PROJECT_INSTRUMENTED,9.89,3449.46,101623.88,0.29,0.01
eqbench-es-10s,Stage 3,CLEANUP_JPF_INSTRUMENTATION,0.95,3449.46,101623.88,0.03,0.0
eqbench-es-10s,Stage 3,COLLECT_JUNIT_REPORTS_INITIAL,5.6,3449.46,101623.88,0.16,0.01
eqbench-es-10s,Stage 3,EXECUTE_JPF,2695.1,3449.46,101623.88,78.13,2.65
eqbench-es-10s,Stage 3,EXECUTE_TESTS_INITIAL,660.7,3449.46,101623.88,19.15,0.65
eqbench-es-10s,Stage 4,BUILD_PROJECT_GENERALIZED,252.01,35558.84,101623.88,0.71,0.25
eqbench-es-10s,Stage 4,CLEANUP_GENERALIZATION,2.22,35558.84,101623.88,0.01,0.0
eqbench-es-10s,Stage 4,COLLECT_JUNIT_REPORTS_GENERALIZED,52.54,35558.84,101623.88,0.15,0.05
eqbench-es-10s,Stage 4,EXECUTE_TESTS_GENERALIZED,34195.79,35558.84,101623.88,96.17,33.65
eqbench-es-10s,Stage 4,FILTER_GENERALIZATIONS,113.28,35558.84,101623.88,0.32,0.11
eqbench-es-10s,Stage 4,GENERALIZE_TESTS,943.0,35558.84,101623.88,2.65,0.93
eqbench-es-10s,Stage 5,COLLECT_JACOCO_DATA_GENERALIZED,22.16,62200.96,101623.88,0.04,0.02
eqbench-es-10s,Stage 5,COLLECT_JACOCO_DATA_INITIAL,2.71,62200.96,101623.88,0.0,0.0
eqbench-es-10s,Stage 5,COLLECT_PIT_DATA_GENERALIZED,55318.25,62200.96,101623.88,88.93,54.43
eqbench-es-10s,Stage 5,COLLECT_PIT_DATA_INITIAL,3455.45,62200.96,101623.88,5.56,3.4
eqbench-es-10s,Stage 5,COLLECT_PIT_DATA_ORIGINAL,3402.4,62200.96,101623.88,5.47,3.35
commons-utils-es-10s,Stage 1 + 2,ADD_DEPENDENCIES,0.04,169.9,35114.68,0.02,0.0
commons-utils-es-10s,Stage 1 + 2,ANALYZE_TESTS,4.43,169.9,35114.68,2.61,0.01
commons-utils-es-10s,Stage 1 + 2,BUILD_PROJECT_ORIGINAL,3.4,169.9,35114.68,2.0,0.01
commons-utils-es-10s,Stage 1 + 2,BUILD_SPOON_MODEL,2.73,169.9,35114.68,1.61,0.01
commons-utils-es-10s,Stage 1 + 2,COLLECT_JACOCO_DATA_ORIGINAL,2.13,169.9,35114.68,1.25,0.01
commons-utils-es-10s,Stage 1 + 2,COLLECT_JUNIT_REPORTS_ORIGINAL,9.7,169.9,35114.68,5.71,0.03
commons-utils-es-10s,Stage 1 + 2,EXECUTE_TESTS_ORIGINAL,131.44,169.9,35114.68,77.36,0.37
commons-utils-es-10s,Stage 1 + 2,FILTER_ASSERTIONS,6.78,169.9,35114.68,3.99,0.02
commons-utils-es-10s,Stage 1 + 2,FILTER_TESTS,3.32,169.9,35114.68,1.96,0.01
commons-utils-es-10s,Stage 1 + 2,FILTER_TESTS_ORIGINAL,3.93,169.9,35114.68,2.31,0.01
commons-utils-es-10s,Stage 1 + 2,SETUP_PROJECT,1.99,169.9,35114.68,1.17,0.01
commons-utils-es-10s,Stage 3,ADD_JPF_INSTRUMENTATION,10.98,1877.51,35114.68,0.58,0.03
commons-utils-es-10s,Stage 3,ANALYZE_JPF,38.71,1877.51,35114.68,2.06,0.11
commons-utils-es-10s,Stage 3,BUILD_PROJECT_INITIAL,5.42,1877.51,35114.68,0.29,0.02
commons-utils-es-10s,Stage 3,BUILD_PROJECT_INSTRUMENTED,8.75,1877.51,35114.68,0.47,0.02
commons-utils-es-10s,Stage 3,CLEANUP_JPF_INSTRUMENTATION,0.4,1877.51,35114.68,0.02,0.0
commons-utils-es-10s,Stage 3,COLLECT_JUNIT_REPORTS_INITIAL,5.18,1877.51,35114.68,0.28,0.01
commons-utils-es-10s,Stage 3,EXECUTE_JPF,1698.33,1877.51,35114.68,90.46,4.84
commons-utils-es-10s,Stage 3,EXECUTE_TESTS_INITIAL,109.73,1877.51,35114.68,5.84,0.31
commons-utils-es-10s,Stage 4,BUILD_PROJECT_GENERALIZED,113.57,16787.9,35114.68,0.68,0.32
commons-utils-es-10s,Stage 4,CLEANUP_GENERALIZATION,0.93,16787.9,35114.68,0.01,0.0
commons-utils-es-10s,Stage 4,COLLECT_JUNIT_REPORTS_GENERALIZED,41.97,16787.9,35114.68,0.25,0.12
commons-utils-es-10s,Stage 4,EXECUTE_TESTS_GENERALIZED,16139.7,16787.9,35114.68,96.14,45.96
commons-utils-es-10s,Stage 4,FILTER_GENERALIZATIONS,33.79,16787.9,35114.68,0.2,0.1
commons-utils-es-10s,Stage 4,GENERALIZE_TESTS,457.95,16787.9,35114.68,2.73,1.3
commons-utils-es-10s,Stage 5,COLLECT_JACOCO_DATA_GENERALIZED,19.17,16279.37,35114.68,0.12,0.05
commons-utils-es-10s,Stage 5,COLLECT_JACOCO_DATA_INITIAL,2.26,16279.37,35114.68,0.01,0.01
commons-utils-es-10s,Stage 5,COLLECT_PIT_DATA_GENERALIZED,14631.7,16279.37,35114.68,89.88,41.67
commons-utils-es-10s,Stage 5,COLLECT_PIT_DATA_INITIAL,816.81,16279.37,35114.68,5.02,2.33
commons-utils-es-10s,Stage 5,COLLECT_PIT_DATA_ORIGINAL,809.43,16279.37,35114.68,4.97,2.31
